Signature;Function (click for code);Unit;Description
TotalRR;`sig_TotalRR.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_TotalRR.m>`_ ;--;Total runoff ratio
RR_Seasonality;`sig_RR_Seasonality.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_RR_Seasonality.m>`_ ;--;Runoff ratio seasonality
EventRR;`sig_EventRR.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_EventRR.m>`_ ;--;Event runoff ratio
StorageFraction :sup:`a`;`sig_StorageFraction.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_StorageFraction.m>`_ ;--;Ratio between active and total storage
Recession_a_Seasonality;`sig_SeasonalVarRecessions.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_SeasonalVarRecessions.m>`_ ;--;Seasonal variations in recession parameters
AverageStorage;`sig_StorageFromBaseflow.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_StorageFromBaseflow.m>`_ ;--;Average storage from average baseflow and storage-discharge relationship
RecessionParameters :sup:`a`;`sig_RecessionAnalysis.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_RecessionAnalysis.m>`_ ;--;Recession analysis parameters approximate storage-discharge relationship
MRC_num_segments;`sig_MRC_SlopeChanges.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_MRC_SlopeChanges.m>`_ ;--;Number of different segments in master recession curve (MRC)
First_Recession_Slope;`sig_MRC_SlopeChanges.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_MRC_SlopeChanges.m>`_ ;mm/timestep :sup:`2` ;Steep section of MRC = storage that is quickly depleted
Mid_Recession_Slope;`sig_MRC_SlopeChanges.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_MRC_SlopeChanges.m>`_ ;mm/timestep :sup:`2` ;Mid section of MRC = water retention capacity of the catchment
Spearmans_rho;`sig_RecessionUniqueness.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_RecessionUniqueness.m>`_ ;--;Non-uniqueness in the storage-discharge relationship
EventRR_TotalRR_ratio :sup:`b`;`sig_EventRR.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_EventRR.m>`_  / `sig_TotalRR.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_TotalRR.m>`_ ;--;Ratio between event and total runoff ratio
VariabilityIndex;`sig_VariabilityIndex.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_VariabilityIndex.m>`_ ;--;Variability index of flow
BFI;`sig_BFI.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_BFI.m>`_ ;--;Baseflow index
BaseflowRecessionK;`sig_BaseflowRecessionK.m <https://github.com/TOSSHtoolbox/TOSSH/blob/master/TOSSH_code/signature_functions/sig_BaseflowRecessionK.m>`_ ;1/d;Exponential recession constant
